Unnamed: 0,site,tree,plot,species,Date,longitude,latitude,da,mo,wk,yr,average_stem_radius,change_stem_radius,average_basal_area,change_basal_area,average_air_temperature,average_air_pressure,average_humidity,avg_solar_irradiance,avg_soil_water_content,freeze_flag,air_pressure_cat,humidity_cat,solar_rank,solar_cat,soil_moist_cat,growth_category
1,AK,1A,1,P glauca,2019-01-01,-149.71571,68.0185764,1,1,1,2019,10.4714027777778,0.0020000000000006,344.476503683722,0.131595033074007,-4.21805553966098,89.9538350635105,0.84003522578213,0.0,0.0776935655994132,1,low,dry,1.0,Q1,dry,Moderate Growth
2,AK,1A,1,P glauca,2019-02-01,-149.71571,68.0185764,1,2,5,2019,10.4572361111111,0.0009999999999994,343.545054710455,0.0657064103489802,-5.66250003708733,93.8033718532986,0.763848536544376,3.23931376139323,0.0737542282183563,1,medium,dry,2250.0,Q1,dry,No/Little Growth
4,AK,1A,1,P glauca,2019-05-01,-149.71571,68.0185764,1,5,18,2019,10.4645641025641,0.0050000000000007,344.026717147762,0.328751963234993,0.015384615613864,93.7976400913336,0.56296919630124,130.753343122719,0.0985903226256437,0,medium,dry,13126.0,Q4,dry,Extreme Growth
5,AK,1A,1,P glauca,2019-06-01,-149.71571,68.0185764,1,6,22,2019,10.5430833333333,0.0020000000000006,349.208780123701,0.13248724538704,5.04305557409922,92.5967259936862,0.415431001947986,180.253982543945,0.289045922553969,0,low,dry,13986.0,Q4,moderate,Moderate Growth
7,AK,1A,1,P glauca,2018-07-01,-149.71571,68.0185764,1,7,26,2018,10.5391944444444,0.0039999999999995,348.951212984804,0.264873959808995,6.20694445901447,93.2527695761787,0.68540989773141,81.024169921875,0.363463855559281,0,low,dry,11165.0,Q4,wet,Extreme Growth
8,AK,1A,1,P glauca,2019-07-01,-149.71571,68.0185764,1,7,26,2019,10.5947222222222,0.004999999999999,352.637933835714,0.332836033684998,7.37777776188321,93.6765584945679,0.661868045727412,15.9072875976562,0.281985474389698,0,medium,dry,3703.0,Q2,moderate,Extreme Growth
10,AK,1A,1,P glauca,2018-08-01,-149.71571,68.0185764,1,8,31,2018,10.5534722222222,0.0060000000000002,349.897328221575,0.397876426392031,8.69861112700568,92.4383653004964,0.828689815269576,36.9114345974392,0.312680499160454,0,low,dry,6757.0,Q2,moderate,Extreme Growth
13,AK,1A,1,P glauca,2018-09-01,-149.71571,68.0185764,1,9,35,2018,10.5580694444444,0.0019999999999988,350.20222698809,0.132675740946979,3.35972219374445,92.1259157392714,0.875881498058637,15.0871276855469,0.335566997003639,0,low,dry,3589.0,Q1,wet,Moderate Growth
15,AK,1A,1,P glauca,2019-01-02,-149.71571,68.0185764,2,1,1,2019,10.473,0.0,344.581597244734,0.0,-3.68194442987442,89.9180101818509,0.889873671034972,0.0,0.0783587363072574,1,low,dry,2.0,Q1,dry,No/Little Growth
16,AK,1A,1,P glauca,2019-02-02,-149.71571,68.0185764,2,2,5,2019,10.4568611111111,0.0010000000000012,343.520415679239,0.0657001271650302,-6.26944444576899,93.4498040941026,0.672511769665612,2.13305155436198,0.0732453797511353,1,low,dry,2003.0,Q1,dry,No/Little Growth
